text,label
"Your files have been locked by ransomware. To regain access, make the payment as instructed in the attached document.",Ransomware
"Security alert: Click the link to verify your account details to prevent suspension. Failure to verify may lead to account lockout.",Phishing
"Denial of Service attack detected: Our servers are experiencing unusually high traffic. We are working to mitigate the issue and restore service.",DDoS
"Zero-day exploit alert: A recent security vulnerability has been discovered. Install the emergency update provided to protect your system.",Zero-day Exploit
"SQL Injection detected in user input: 'UPDATE users SET password=''1234'' WHERE username=''admin''; --'. Secure your SQL queries to prevent attacks.",SQL Injection
"Trojan malware identified on your device. It’s designed to spy on your activities and exfiltrate personal data. Immediate removal required.",Malware
"Internal request: Confirm your identity by sending your username and password to avoid issues with your account status.",Social Engineering
"Ransomware alert: Your important files have been encrypted. Follow the instructions in the attached ransom note to restore your data.",Ransomware
"Urgent action needed: Verify your account by following this link. Failure to do so could result in account suspension.",Phishing
"Service disruption warning: Our system is currently under a DDoS attack. We are implementing measures to restore normal operation.",DDoS
"Critical vulnerability discovered: Apply the security patch immediately to address a zero-day exploit identified in our recent software update.",Zero-day Exploit
"SQL Injection vulnerability detected: 'SELECT * FROM users WHERE status=''active''; --'. Review and sanitize input fields to avoid data breaches.",SQL Injection
"Malware detected: A new form of spyware has been installed on your device. It’s designed to collect confidential information. Remove it immediately.",Malware
"Important notice: Your account has been flagged for review. Send your credentials to confirm your identity and avoid account issues.",Social Engineering
"Ransomware has encrypted your files. Make the required payment as outlined in the attached ransom note to regain access to your data.",Ransomware
"Security warning: Click here to verify your account details. Failure to act promptly may result in a temporary suspension of your account.",Phishing
"System under attack: A massive influx of requests indicates a potential DDoS. We are taking steps to mitigate and restore normal service.",DDoS
"Urgent update: A zero-day exploit has been found. Apply the provided patch to secure your system from this vulnerability.",Zero-day Exploit
"SQL Injection attempt detected: 'SELECT * FROM users WHERE username=''admin'' AND password=''password''; --'. Ensure proper input validation.",SQL Injection
"Your antivirus has detected malware designed to access and misuse personal data. Immediate removal and system scan required.",Malware
"Request for verification: Please send your login credentials to validate your recent account activity and prevent any potential issues.",Social Engineering
"Ransomware notice: Your files are locked and can only be decrypted by paying the ransom mentioned in the attached document.",Ransomware
"Important: Verify your account details by clicking this link. Failure to verify may lead to a temporary lock on your account.",Phishing
